occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Lomatium dissectum","Lomatium dissectum (Nutt. ex Torr. & A.Gray) Mathias & Constance","3034268","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Lomatium","Lomatium dissectum","Lomatium dissectum","(Nutt. ex Torr. & A.Gray) Mathias & Constance","3034268",
,"Lomatium dissectum","Lomatium dissectum (Nutt. ex Torr. & A.Gray) Mathias & Constance","3034268","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Lomatium","Lomatium dissectum","Lomatium dissectum","(Nutt. ex Torr. & A.Gray) Mathias & Constance","3034268",
,"Ranunculus occidentalis","Ranunculus occidentalis Nutt.","3033353","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus occidentalis","Ranunculus occidentalis","Nutt.","3033353",
,"Plectritis congesta","Plectritis congesta (Lindl.) DC.","2888738","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","Plectritis congesta","(Lindl.) DC.","2888738",
,"Plectritis congesta","Plectritis congesta (Lindl.) DC.","2888738","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","Plectritis congesta","(Lindl.) DC.","2888738",
,"Plectritis congesta","Plectritis congesta (Lindl.) DC.","2888738","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","Plectritis congesta","(Lindl.) DC.","2888738",
,"Plectritis congesta","Plectritis congesta (Lindl.) DC.","2888738","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","Plectritis congesta","(Lindl.) DC.","2888738",
,"Camassia quamash","Camassia quamash (Pursh) Greene","2769084","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","Camassia quamash","(Pursh) Greene","2769084",
,"Plectritis congesta","Plectritis congesta (Lindl.) DC.","2888738","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","Plectritis congesta","(Lindl.) DC.","2888738",
,"Plectritis congesta","Plectritis congesta (Lindl.) DC.","2888738","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","Plectritis congesta","(Lindl.) DC.","2888738",
,"Camassia quamash","Camassia quamash (Pursh) Greene","2769084","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","Camassia quamash","(Pursh) Greene","2769084",
,"Camassia quamash","Camassia quamash (Pursh) Greene","2769084","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","Camassia quamash","(Pursh) Greene","2769084",
,"Plectritis congesta","Plectritis congesta (Lindl.) DC.","2888738","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","Plectritis congesta","(Lindl.) DC.","2888738",
,"Plectritis congesta","Plectritis congesta (Lindl.) DC.","2888738","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","Plectritis congesta","(Lindl.) DC.","2888738",
,"Castilleja levisecta","Castilleja levisecta Greenm.","3170657","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Castilleja","Castilleja levisecta","Castilleja levisecta","Greenm.","3170657",
,"Camassia quamash","Camassia quamash (Pursh) Greene","2769084","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","Camassia quamash","(Pursh) Greene","2769084",
,"Plectritis congesta","Plectritis congesta (Lindl.) DC.","2888738","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","Plectritis congesta","(Lindl.) DC.","2888738",
,"Camassia quamash","Camassia quamash (Pursh) Greene","2769084","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","Camassia quamash","(Pursh) Greene","2769084",
,"Castilleja levisecta","Castilleja levisecta Greenm.","3170657","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Castilleja","Castilleja levisecta","Castilleja levisecta","Greenm.","3170657",
,"Plectritis congesta","Plectritis congesta (Lindl.) DC.","2888738","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","Plectritis congesta","(Lindl.) DC.","2888738",
,"Camassia quamash","Camassia quamash (Pursh) Greene","2769084","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","Camassia quamash","(Pursh) Greene","2769084",
,"Plectritis congesta","Plectritis congesta (Lindl.) DC.","2888738","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","Plectritis congesta","(Lindl.) DC.","2888738",
,"Ranunculus occidentalis","Ranunculus occidentalis Nutt.","3033353","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus occidentalis","Ranunculus occidentalis","Nutt.","3033353",
,"Ranunculus occidentalis","Ranunculus occidentalis Nutt.","3033353","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus occidentalis","Ranunculus occidentalis","Nutt.","3033353",
,"Valerianella locusta","Valerianella locusta (L.) Laterr.","2888778","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Valerianella","Valerianella locusta","Valerianella locusta","(L.) Laterr.","2888778",
,"Myosotis dicsolor","Myosotis discolor Pers.","5341177","FUZZY","96","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","Myosotis","Myosotis discolor","Myosotis discolor","Pers.","5341177",
,"Ranunculus occidentalis","Ranunculus occidentalis Nutt.","3033353","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus occidentalis","Ranunculus occidentalis","Nutt.","3033353",
,"Ranunculus alismafolius","Ranunculus alismifolius Geyer ex Benth.","3033433","FUZZY","95","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus alismifolius","Ranunculus alismifolius","Geyer ex Benth.","3033433",
,"Camassia quamash","Camassia quamash (Pursh) Greene","2769084","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","Camassia quamash","(Pursh) Greene","2769084",
,"Camassia quamash","Camassia quamash (Pursh) Greene","2769084","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","Camassia quamash","(Pursh) Greene","2769084",
,"Camassia quamash","Camassia quamash (Pursh) Greene","2769084","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","Camassia quamash","(Pursh) Greene","2769084",
,"Camassia quamash","Camassia quamash (Pursh) Greene","2769084","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","Camassia quamash","(Pursh) Greene","2769084",
,"Cardamine penduliflora","Cardamine penduliflora O.E.Schulz","3045901","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Cardamine","Cardamine penduliflora","Cardamine penduliflora","O.E.Schulz","3045901",
,"Camassia quamash","Camassia quamash (Pursh) Greene","2769084","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","Camassia quamash","(Pursh) Greene","2769084",
,"Ranunculus alismafolius","Ranunculus alismifolius Geyer ex Benth.","3033433","FUZZY","95","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus alismifolius","Ranunculus alismifolius","Geyer ex Benth.","3033433",
,"Camassia quamash","Camassia quamash (Pursh) Greene","2769084","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","Camassia quamash","(Pursh) Greene","2769084",
,"Camassia quamash","Camassia quamash (Pursh) Greene","2769084","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","Camassia quamash","(Pursh) Greene","2769084",
,"Camassia quamash","Camassia quamash (Pursh) Greene","2769084","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","Camassia quamash","(Pursh) Greene","2769084",
,"Ranunculus alismafolius","Ranunculus alismifolius Geyer ex Benth.","3033433","FUZZY","95","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus alismifolius","Ranunculus alismifolius","Geyer ex Benth.","3033433",
,"Cardamine penduliflora","Cardamine penduliflora O.E.Schulz","3045901","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Cardamine","Cardamine penduliflora","Cardamine penduliflora","O.E.Schulz","3045901",
,"Micranthes integrifolia","Micranthes integrifolia (Hook.) Small","5567654","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Saxifragaceae","Micranthes","Micranthes integrifolia","Micranthes integrifolia","(Hook.) Small","5567654",
,"Ranunculus alismafolius","Ranunculus alismifolius Geyer ex Benth.","3033433","FUZZY","95","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus alismifolius","Ranunculus alismifolius","Geyer ex Benth.","3033433",
,"Ranunculus alismafolius","Ranunculus alismifolius Geyer ex Benth.","3033433","FUZZY","95","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus alismifolius","Ranunculus alismifolius","Geyer ex Benth.","3033433",
,"Ranunculus alismafolius","Ranunculus alismifolius Geyer ex Benth.","3033433","FUZZY","95","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus alismifolius","Ranunculus alismifolius","Geyer ex Benth.","3033433",
,"Ranunculus alismafolius","Ranunculus alismifolius Geyer ex Benth.","3033433","FUZZY","95","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus alismifolius","Ranunculus alismifolius","Geyer ex Benth.","3033433",
,"Ranunculus orthorhynchus","Ranunculus orthorhynchus Hook.","3033458","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus orthorhynchus","Ranunculus orthorhynchus","Hook.","3033458",
,"Cardamine penduliflora","Cardamine penduliflora O.E.Schulz","3045901","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Cardamine","Cardamine penduliflora","Cardamine penduliflora","O.E.Schulz","3045901",
,"Ranunculus alismafolius","Ranunculus alismifolius Geyer ex Benth.","3033433","FUZZY","95","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus alismifolius","Ranunculus alismifolius","Geyer ex Benth.","3033433",
,"Ranunculus alismafolius","Ranunculus alismifolius Geyer ex Benth.","3033433","FUZZY","95","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus alismifolius","Ranunculus alismifolius","Geyer ex Benth.","3033433",
,"Ranunculus alismafolius","Ranunculus alismifolius Geyer ex Benth.","3033433","FUZZY","95","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus alismifolius","Ranunculus alismifolius","Geyer ex Benth.","3033433",
,"Ranunculus alismafolius","Ranunculus alismifolius Geyer ex Benth.","3033433","FUZZY","95","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus alismifolius","Ranunculus alismifolius","Geyer ex Benth.","3033433",
,"Camassia quamash","Camassia quamash (Pursh) Greene","2769084","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","Camassia quamash","(Pursh) Greene","2769084",
,"Lomatium bradshawii","Lomatium bradshawii (Rose ex Mathias) Mathias & Constance","3034265","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Lomatium","Lomatium bradshawii","Lomatium bradshawii","(Rose ex Mathias) Mathias & Constance","3034265",
,"Micranthes integrifolia","Micranthes integrifolia (Hook.) Small","5567654","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Saxifragaceae","Micranthes","Micranthes integrifolia","Micranthes integrifolia","(Hook.) Small","5567654",
,"Lomatium bradshawii","Lomatium bradshawii (Rose ex Mathias) Mathias & Constance","3034265","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Lomatium","Lomatium bradshawii","Lomatium bradshawii","(Rose ex Mathias) Mathias & Constance","3034265",
,"Camassia quamash","Camassia quamash (Pursh) Greene","2769084","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","Camassia quamash","(Pursh) Greene","2769084",
,"Ranunculus alismafolius","Ranunculus alismifolius Geyer ex Benth.","3033433","FUZZY","95","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus alismifolius","Ranunculus alismifolius","Geyer ex Benth.","3033433",
,"Ranunculus orthorhynchus","Ranunculus orthorhynchus Hook.","3033458","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus orthorhynchus","Ranunculus orthorhynchus","Hook.","3033458",
,"Cardamine penduliflora","Cardamine penduliflora O.E.Schulz","3045901","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Cardamine","Cardamine penduliflora","Cardamine penduliflora","O.E.Schulz","3045901",
,"Ranunculus orthorhynchus","Ranunculus orthorhynchus Hook.","3033458","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus orthorhynchus","Ranunculus orthorhynchus","Hook.","3033458",
,"Camassia quamash","Camassia quamash (Pursh) Greene","2769084","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","Camassia quamash","(Pursh) Greene","2769084",
,"Camassia quamash","Camassia quamash (Pursh) Greene","2769084","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","Camassia quamash","(Pursh) Greene","2769084",
,"Ranunculus alismafolius","Ranunculus alismifolius Geyer ex Benth.","3033433","FUZZY","95","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus alismifolius","Ranunculus alismifolius","Geyer ex Benth.","3033433",
,"Lomatium bradshawii","Lomatium bradshawii (Rose ex Mathias) Mathias & Constance","3034265","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Lomatium","Lomatium bradshawii","Lomatium bradshawii","(Rose ex Mathias) Mathias & Constance","3034265",
,"Lomatium bradshawii","Lomatium bradshawii (Rose ex Mathias) Mathias & Constance","3034265","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Lomatium","Lomatium bradshawii","Lomatium bradshawii","(Rose ex Mathias) Mathias & Constance","3034265",
,"Micranthes integrifolia","Micranthes integrifolia (Hook.) Small","5567654","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Saxifragaceae","Micranthes","Micranthes integrifolia","Micranthes integrifolia","(Hook.) Small","5567654",
,"Micranthes integrifolia","Micranthes integrifolia (Hook.) Small","5567654","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Saxifragaceae","Micranthes","Micranthes integrifolia","Micranthes integrifolia","(Hook.) Small","5567654",
,"Micranthes integrifolia","Micranthes integrifolia (Hook.) Small","5567654","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Saxifragaceae","Micranthes","Micranthes integrifolia","Micranthes integrifolia","(Hook.) Small","5567654",
,"Micranthes integrifolia","Micranthes integrifolia (Hook.) Small","5567654","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Saxifragaceae","Micranthes","Micranthes integrifolia","Micranthes integrifolia","(Hook.) Small","5567654",
,"Camassia quamash","Camassia quamash (Pursh) Greene","2769084","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","Camassia quamash","(Pursh) Greene","2769084",
